sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,em,ml,mu,sample,subtype,quality,caltype,covBVs
SN2007cv,0.0087491401049009,0.0076,0.6804109174023487,0.011047399816334551,15.576855752725592,0.014092899048899375,-8.85831066591345,0.0611,0.006110000000000001,6.237939733743689e-05,,0.015257222448463281,0.019217046425813678,0,,,,,,,,,,,,,,,,2.225306170994059e-05
SN2008hs,0.016641116758673465,0.017349,0.6027322381812613,0.00634072710575315,16.718337706072127,0.02018865572318332,-9.508704797095561,0.0497,0.0049700000000000005,1.3354118344369454e-06,,0.08697076669847092,0.026738066221628762,0,,,,,,,,,,,,,,,,-1.3415660264491559e-05
