sn,zhel,zcmb,st,est,Mmax,eMmax,BV,eBV,t0,EBVmw,eEBVmw,covMs,covBVs,covBV_M,host,dist,edist,sample
SN2004gs,0.0266267,0.0282767,0.705,0.003,17.291,0.036,0.20199999999999818,0.006403124237432849,7.1,0.0257,0.0026,-7.196e-06,-5.279999999999999e-07,0.0,N/A,-1.0,-1.0,CSPI
SN2006bd,0.0257067,0.0267967,0.398,0.009,17.447,0.086,0.7119999999999997,0.03911521443121589,8.6,0.0231,0.0023,0.0001688,3.3899999999999997e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2006eq,0.0494667,0.0483667,0.649,0.023,17.913,0.128,0.3099999999999987,0.07742092740338365,1.1,0.0416,0.0042,-0.0001648,-5.1689e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006gj,0.0283333,0.0269667,0.708,0.007,17.232,0.062,0.2980000000000018,0.012041594578792296,2.3,0.0705,0.007,-7.407e-05,-1.3649999999999996e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2006gt,0.04474,0.0436433,0.575,0.01,18.308,0.092,0.24899999999999878,0.016278820596099707,-1.3,0.0323,0.0032,-4.266e-05,-1.645e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006hb,0.0153333,0.0153367,0.685,0.018,15.761,0.034,0.1850000000000005,0.0660302960768767,3.4,0.0236,0.0024,-2.26e-05,-1.7909e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006ob,0.0591967,0.0582567,0.743,0.009,18.64,0.088,0.1109999999999971,0.014866068747318505,3.0,0.0285,0.0029,-4.235e-05,1.9908e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007al,0.0121133,0.0132629,0.385,0.006,15.921,0.053,0.6999999999999993,0.025,0.6,0.036,0.0036,5.664e-05,3.759999999999998e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007ba,0.0384867,0.0390533,0.556,0.008,17.618,0.073,0.32800000000000296,0.019209372712298545,-4.1,0.0315,0.0032,1.494e-06,-1.856e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007hj,0.0141033,0.0128818,0.636,0.005,15.705,0.034,0.21600000000000108,0.009219544457292887,5.5,0.0747,0.0075,-2.442e-05,-5.622e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007N,0.01287,0.014,0.375,0.006,16.308,0.045,0.9529999999999994,0.023600847442411893,0.3,0.0343,0.0034,2.048e-05,6.75e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007ux,0.0308933,0.031996,0.624,0.006,17.502,0.022,0.21300000000000097,0.01,-0.3,0.0386,0.0039,-5.673e-05,-1.3426e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008bd,0.0300833,0.0312803,0.656,0.04,17.474,0.115,0.34499999999999886,0.06762396025078685,20.4,0.0751,0.0075,-0.002307,-0.0017958000000000002,0.0,N/A,-1.0,-1.0,CSPI
SN2008bi,0.0134367,0.0143882,0.512,0.023,16.188,0.058,0.5790000000000006,0.1292478239662084,9.5,0.037,0.0037,8.171e-05,-5.9090000000000005e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008bt,0.0153533,0.0165796,0.492,0.008,16.34,0.141,0.5249999999999986,0.01345362404707371,25.8,0.0445,0.0044,0.000158,-1.492e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008O,0.03883,0.039318,0.683,0.01,17.922,0.049,0.31400000000000006,0.016401219466856725,-2.2,0.0763,0.0076,-0.0001184,-1.83118e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2009F,0.0129467,0.01291,0.384,0.007,15.977,0.034,0.5570000000000022,0.025495097567963924,-4.0,0.0895,0.0089,5.022e-05,6.529999999999997e-06,0.0,N/A,-1.0,-1.0,CSPI
KISS15m,0.02432,0.0253844,0.425,0.009,17.584,0.038,0.6219999999999999,0.03176476034853718,-6.1,0.0277,0.0028,8.041e-05,2.099e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.29,0.032,0.2870000000000026,0.01769180601295413,-2.2,0.1457,0.0146,-2.342e-05,-2.373e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.913,0.054,0.24599999999999866,0.0170293863659264,-5.8,0.0179,0.0018,2.751e-05,-2.8799999999999995e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14gfb,0.0527067,0.0527873,0.586,0.033,18.939,0.109,0.5300000000000011,0.06226556030423239,2.1,0.0159,0.0016,-0.0004799,-2.409999999999999e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ14ip,0.0612967,0.0624196,0.509,0.01,19.377,0.242,0.33800000000000097,0.022803508501982758,-7.3,0.0373,0.0037,0.0001188,-4.4460000000000005e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ14jp,0.04539,0.0464896,0.675,0.007,18.246,0.069,0.12300000000000111,0.01,6.5,0.053,0.0053,-0.0001004,9.834e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF11pra,0.0175433,0.0167242,0.439,0.017,16.467,0.032,0.9200000000000017,0.06,2.0,0.0243,0.0024,4.061e-07,-3.1940000000000003e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF14aje,0.0276708,0.0282271,0.684,0.005,17.133,0.02,0.6080000000000005,0.010816653826391968,-2.2,0.1524,0.0152,-2.804e-05,-2.0989999999999997e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF14w,0.0188933,0.0200839,0.742,0.004,16.422,0.016,0.055999999999997385,0.005,-3.3,0.0205,0.0021,-7.901e-06,2.896e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2013ay,0.0157167,0.0156526,0.495,0.019,15.676,0.036,0.5299999999999994,0.08348652585896721,7.5,0.0622,0.0062,-1.233e-05,-5.4080000000000004e-05,0.0,N/A,-1.0,-1.0,CSPII
SN2013bc,0.02245,0.023528,0.482,0.022,16.817,0.063,0.7510000000000012,0.0658027355054484,0.8,0.0407,0.0041,9.321e-05,-8.650999999999999e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2014dn,0.0221733,0.0221408,0.466,0.005,16.959,0.05,0.6529999999999987,0.01,3.8,0.0161,0.0016,1.255e-05,-3.5830000000000003e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2008hs,0.017349,0.0166411,0.611,0.006,16.481,0.028,0.07499999999999929,0.02441311123146741,-9.7,0.0497,0.005,1.27e-05,-1.0900000000000014e-06,0.0,NGC0910,34.459,0.093,N/A
