sn,zhel,zcmb,st,est,Mmax,eMmax,BV,eBV,t0,EBVmw,eEBVmw,covMs,covBVs,covBV_M,host,dist,edist,sample
SN2007ba,0.0384867,0.0390533,0.556,0.008,17.678,0.024,0.32800000000000296,0.019209372712298545,-7.1,0.0315,0.0032,-1.209e-06,-1.856e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007hj,0.0141033,0.0128818,0.636,0.005,15.808,0.012,0.21600000000000108,0.009219544457292887,-1.5,0.0747,0.0075,-1.509e-05,-5.622e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007jh,0.0407667,0.0402667,0.6,0.015,18.376,0.033,0.27199999999999847,0.026248809496813377,-2.9,0.0902,0.009,-4.858e-05,-4.0419999999999996e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007mm,0.066354,0.0688733,0.506,0.016,19.484,0.031,0.4059999999999988,0.03720215047547654,-7.2,0.0313,0.0031,5.053e-05,-7.217000000000001e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007N,0.01287,0.014,0.375,0.006,16.911,0.027,0.9529999999999994,0.023600847442411893,-0.7,0.0343,0.0034,7.215e-06,6.75e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007ux,0.0308933,0.031996,0.624,0.006,17.609,0.013,0.21300000000000097,0.01,-0.3,0.0386,0.0039,-3.565e-05,-1.3426e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008bd,0.0300833,0.0312803,0.656,0.04,17.74,0.043,0.34499999999999886,0.06762396025078685,15.3,0.0751,0.0075,-0.0009497,-0.0017958000000000002,0.0,N/A,-1.0,-1.0,CSPI
SN2008bi,0.0134367,0.0143882,0.512,0.023,16.498,0.087,0.5790000000000006,0.1292478239662084,7.4,0.037,0.0037,8.184e-05,-5.9090000000000005e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008bt,0.0153533,0.0165796,0.492,0.008,16.387,0.017,0.5249999999999986,0.01345362404707371,-1.2,0.0445,0.0044,1.93e-05,-1.492e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008O,0.03883,0.039318,0.683,0.01,18.06,0.024,0.31400000000000006,0.016401219466856725,-1.2,0.0763,0.0076,-5.79e-05,-1.83118e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2009F,0.0129467,0.01291,0.384,0.007,16.375,0.035,0.5570000000000022,0.025495097567963924,-4.9,0.0895,0.0089,6.318e-05,6.529999999999997e-06,0.0,N/A,-1.0,-1.0,CSPI
CSP12J,0.01468,0.0149235,0.484,0.025,15.974,0.076,0.5549999999999997,0.12841339493993606,5.0,0.0678,0.0068,-4.634e-05,-0.0001782,0.0,N/A,-1.0,-1.0,CSPII
CSP15B,0.0198862,0.0208198,0.718,0.006,16.444,0.011,0.1399999999999988,0.010816653826391968,-3.8,0.0641,0.0064,-5.814e-06,7.780000000000002e-06,0.0,N/A,-1.0,-1.0,CSPII
KISS15m,0.02432,0.0253844,0.425,0.009,17.743,0.031,0.6219999999999999,0.03176476034853718,-6.1,0.0277,0.0028,0.0001561,2.099e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.563,0.018,0.2870000000000026,0.01769180601295413,-5.0,0.1457,0.0146,2.212e-05,-2.373e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.895,0.017,0.24599999999999866,0.0170293863659264,-5.9,0.0179,0.0018,-3.483e-05,-2.8799999999999995e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ13dkp,0.0689367,0.0685268,0.646,0.009,19.175,0.016,0.00999999999999801,0.01345362404707371,-4.6,0.0145,0.0015,-3.096e-05,2.600000000000002e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14act,0.05905,0.0594518,0.691,0.007,18.866,0.013,0.0030000000000001137,0.009899494936611667,-3.2,0.2269,0.0227,-2.559e-05,-5.88e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.655,0.01,0.07499999999999929,0.009219544457292887,-0.3,0.0193,0.0019,-1.764e-05,-7.017e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14gfb,0.0527067,0.0527873,0.586,0.033,19.118,0.082,0.5300000000000011,0.06226556030423239,6.0,0.0159,0.0016,-0.000344,-2.409999999999999e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ14ip,0.0612967,0.0624196,0.509,0.01,19.343,0.02,0.33800000000000097,0.022803508501982758,-7.3,0.0373,0.0037,4.523e-05,-4.4460000000000005e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ14jp,0.04539,0.0464896,0.675,0.007,18.415,0.012,0.12300000000000111,0.01,-8.4,0.053,0.0053,-1.698e-05,9.834e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF11ppn,0.0672534,0.0661869,0.641,0.037,18.86,0.094,0.18900000000000006,0.17917589123540031,7.4,0.132,0.0132,-0.0002791,0.00017540000000000004,0.0,N/A,-1.0,-1.0,CSPII
PTF11pra,0.0175433,0.0167242,0.439,0.017,16.995,0.059,0.9200000000000017,0.06,0.9,0.0243,0.0024,4.798e-06,-3.1940000000000003e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF14aje,0.0276708,0.0282271,0.684,0.005,17.772,0.011,0.6080000000000005,0.010816653826391968,-5.1,0.1524,0.0152,-1.448e-05,-2.0989999999999997e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF14w,0.0188933,0.0200839,0.742,0.004,16.554,0.006,0.055999999999997385,0.005,-6.3,0.0205,0.0021,-7.702e-07,2.896e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2011jn,0.0474433,0.0485384,0.641,0.021,18.343,0.067,0.12100000000000222,0.08848163651289458,5.4,0.0593,0.0059,-6.203e-05,-4.6884e-05,0.0,N/A,-1.0,-1.0,CSPII
SN2012ij,0.01099,0.012107,0.536,0.008,15.699,0.015,0.2569999999999997,0.016278820596099707,-4.3,0.0235,0.0024,7.158e-06,-3.142000000000001e-05,0.0,N/A,-1.0,-1.0,CSPII
SN2013ay,0.0157167,0.0156526,0.495,0.019,15.996,0.062,0.5299999999999994,0.08348652585896721,7.5,0.0622,0.0062,-7.197e-06,-5.4080000000000004e-05,0.0,N/A,-1.0,-1.0,CSPII
SN2013bc,0.02245,0.023528,0.482,0.022,17.451,0.065,0.7510000000000012,0.0658027355054484,0.8,0.0407,0.0041,-1.07e-05,-8.650999999999999e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2014dn,0.0221733,0.0221408,0.466,0.005,17.147,0.011,0.6529999999999987,0.01,-0.3,0.0161,0.0016,5.974e-06,-3.5830000000000003e-06,0.0,N/A,-1.0,-1.0,CSPII
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.588,0.106,0.125,0.08683893136145793,0.8,0.0444,0.0044,-0.001308,-0.00030082000000000004,0.0,N/A,-1.0,-1.0,CSPII
SN2008hs,0.017349,0.0166411,0.611,0.006,16.481,0.02,0.07499999999999929,0.02441311123146741,-10.6,0.0497,0.005,7.912e-06,-1.0900000000000014e-06,0.0,NGC0910,34.459,0.093,N/A
SN2010Y,0.0109,0.0112644,0.658,0.006,15.458,0.016,0.02200000000000024,0.016401219466856725,-8.4,0.0117,0.0012,1.833e-06,-3.3300000000000003e-06,0.0,NGC3392,33.861,0.088,N/A
SN2016ajf,0.0203,0.0197686,0.488,0.015,16.687,0.027,0.5560000000000009,0.07507329751649384,-3.9,0.1417,0.0142,5.402e-05,4.500000000000001e-06,0.0,NGC1278,34.202,0.106,N/A
SN2006mr,0.0058667,0.00551,0.335,0.004,14.454,0.034,0.7310000000000016,0.02758622844826744,-4.4,0.0179,0.0018,3.157e-05,-1.0749999999999999e-05,0.0,N/A,31.2,0.093,CSPI
SN2007on,0.00649,0.0061833,0.588,0.003,13.382,0.022,0.11599999999999966,0.012041594578792296,-8.4,0.0098,0.001,-2.316e-06,1.651e-06,0.0,N/A,31.453,0.084,CSPI
SN2008R,0.0134933,0.0128867,0.633,0.006,15.565,0.015,0.11999999999999922,0.01063014581273465,-1.3,0.0618,0.0062,-1.297e-05,-7.641e-06,0.0,NGC1200,33.66,0.08,N/A
SN2011iv,0.0,0.0,0.699,0.007,12.823,0.014,0.0,0.0,0.0,0.0,0.0,-1.569e-05,0.0,0.0,,31.453,0.084,
PTF13ebh,0.01326,0.012484,0.636,0.004,15.326,0.011,0.12299999999999933,0.009219544457292887,-13.0,0.0668,0.0067,-1.262e-06,-1.099e-06,0.0,NGC0890,33.296,0.081,N/A
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.521,0.011,0.4540000000000006,0.01063014581273465,-6.7,0.0226,0.0023,1.299e-05,-7.608e-06,0.0,NGC5490,34.267,0.08,N/A
SNhunt281,0.0040667,0.004706,0.693,0.003,14.147,0.008,0.04499999999999993,0.007071067811865475,-12.0,0.0454,0.0045,-1.531e-06,-1.6239999999999996e-06,0.0,N/A,32.369,0.078,CSPII
