sn,zhel,zcmb,st,est,Mmax,eMmax,BV,eBV,t0,EBVmw,eEBVmw,covMs,covBVs,covBV_M,host,dist,edist,sample
SN2004gs,0.0266267,0.0282767,0.705,0.003,16.924,0.07,0.20199999999999818,0.006403124237432849,6.1,0.0257,0.0026,-2.017e-05,-5.279999999999999e-07,0.0,N/A,-1.0,-1.0,CSPI
SN2006bd,0.0257067,0.0267967,0.398,0.009,17.651,0.041,0.7119999999999997,0.03911521443121589,-2.3,0.0231,0.0023,5.867e-05,3.3899999999999997e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2006eq,0.0494667,0.0483667,0.649,0.023,18.253,0.102,0.3099999999999987,0.07742092740338365,1.1,0.0416,0.0042,-0.0003139,-5.1689e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006gj,0.0283333,0.0269667,0.708,0.007,16.957,0.086,0.2980000000000018,0.012041594578792296,2.3,0.0705,0.007,-5.976e-05,-1.3649999999999996e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2006gt,0.04474,0.0436433,0.575,0.01,18.116,0.045,0.24899999999999878,0.016278820596099707,-1.3,0.0323,0.0032,-0.000254,-1.645e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006hb,0.0153333,0.0153367,0.685,0.018,15.521,0.077,0.1850000000000005,0.0660302960768767,3.4,0.0236,0.0024,-7.893e-05,-1.7909e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006ob,0.0591967,0.0582567,0.743,0.009,18.446,0.09,0.1109999999999971,0.014866068747318505,2.9,0.0285,0.0029,-1.881e-05,1.9908e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007al,0.0121133,0.0132629,0.385,0.006,16.129,0.072,0.6999999999999993,0.025,0.6,0.036,0.0036,2.384e-05,3.759999999999998e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007ba,0.0384867,0.0390533,0.556,0.008,17.588,0.03,0.32800000000000296,0.019209372712298545,-6.1,0.0315,0.0032,2.47e-06,-1.856e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007hj,0.0141033,0.0128818,0.636,0.005,15.537,0.069,0.21600000000000108,0.009219544457292887,0.6,0.0747,0.0075,-6.085e-05,-5.622e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007N,0.01287,0.014,0.375,0.006,16.307,0.069,0.9529999999999994,0.023600847442411893,0.3,0.0343,0.0034,5.13e-06,6.75e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007ux,0.0308933,0.031996,0.624,0.006,17.359,0.021,0.21300000000000097,0.01,-0.4,0.0386,0.0039,-8.511e-05,-1.3426e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008bd,0.0300833,0.0312803,0.656,0.04,16.372,0.152,0.34499999999999886,0.06762396025078685,24.4,0.0751,0.0075,-0.002889,-0.0017958000000000002,0.0,N/A,-1.0,-1.0,CSPI
SN2008bi,0.0134367,0.0143882,0.512,0.023,15.621,0.108,0.5790000000000006,0.1292478239662084,9.5,0.037,0.0037,-0.0002708,-5.9090000000000005e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008bt,0.0153533,0.0165796,0.492,0.008,16.278,0.099,0.5249999999999986,0.01345362404707371,20.8,0.0445,0.0044,7.087e-05,-1.492e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008O,0.03883,0.039318,0.683,0.01,17.721,0.04,0.31400000000000006,0.016401219466856725,-2.2,0.0763,0.0076,-0.0001747,-1.83118e-05,0.0,N/A,-1.0,-1.0,CSPI
