sn,zhel,zcmb,st,est,Mmax,eMmax,BV,eBV,t0,EBVmw,eEBVmw,covMs,covBVs,covBV_M,host,dist,edist,sample
SN2004gs,0.0266267,0.0282767,0.705,0.003,16.955,0.005,0.20199999999999818,0.006403124237432849,-3.8,0.0257,0.0026,5.155e-07,-5.279999999999999e-07,0.0,N/A,-1.0,-1.0,CSPI
SN2005bl,0.0240433,0.0251133,0.427,0.011,17.561,0.031,0.6890000000000001,0.03360059523282288,-6.5,0.025,0.0025,0.0001673,8.973000000000001e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2005mc,0.0252033,0.0260067,0.664,0.02,16.822,0.031,0.31400000000000006,0.06742403132415029,2.4,0.0379,0.0038,-4.492e-05,-3.559e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006bd,0.0257067,0.0267967,0.398,0.009,17.823,0.023,0.7119999999999997,0.03911521443121589,-1.4,0.0231,0.0023,5.986e-05,3.3899999999999997e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2006eq,0.0494667,0.0483667,0.649,0.023,18.249,0.035,0.3099999999999987,0.07742092740338365,2.1,0.0416,0.0042,-6.521e-05,-5.1689e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006gj,0.0283333,0.0269667,0.708,0.007,17.271,0.009,0.2980000000000018,0.012041594578792296,-1.8,0.0705,0.007,-5.749e-06,-1.3649999999999996e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2006gt,0.04474,0.0436433,0.575,0.01,18.055,0.012,0.24899999999999878,0.016278820596099707,-2.3,0.0323,0.0032,2.475e-05,-1.645e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006hb,0.0153333,0.0153367,0.685,0.018,15.467,0.03,0.1850000000000005,0.0660302960768767,4.4,0.0236,0.0024,-2.399e-05,-1.7909e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006ob,0.0591967,0.0582567,0.743,0.009,18.284,0.011,0.1109999999999971,0.014866068747318505,-3.0,0.0285,0.0029,4.891e-06,1.9908e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007al,0.0121133,0.0132629,0.385,0.006,16.46,0.019,0.6999999999999993,0.025,-0.3,0.036,0.0036,3.556e-05,3.759999999999998e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007ba,0.0384867,0.0390533,0.556,0.008,17.345,0.015,0.32800000000000296,0.019209372712298545,-7.1,0.0315,0.0032,2.412e-05,-1.856e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007hj,0.0141033,0.0128818,0.636,0.005,15.405,0.007,0.21600000000000108,0.009219544457292887,-1.5,0.0747,0.0075,-3.432e-06,-5.622e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007jh,0.0407667,0.0402667,0.6,0.015,17.989,0.018,0.27199999999999847,0.026248809496813377,-2.9,0.0902,0.009,6.163e-05,-4.0419999999999996e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007mm,0.066354,0.0688733,0.506,0.016,19.207,0.021,0.4059999999999988,0.03720215047547654,-7.2,0.0313,0.0031,0.00013,-7.217000000000001e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007N,0.01287,0.014,0.375,0.006,16.786,0.017,0.9529999999999994,0.023600847442411893,-0.7,0.0343,0.0034,3.151e-05,6.75e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2007ol,0.05587,0.054882,0.678,0.029,18.168,0.029,-0.0730000000000004,0.029068883707497266,-3.6,0.0215,0.0022,-9.695e-05,0.000108,0.0,N/A,-1.0,-1.0,CSPI
SN2007ux,0.0308933,0.031996,0.624,0.006,17.245,0.008,0.21300000000000097,0.01,-0.3,0.0386,0.0039,-5.921e-06,-1.3426e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008bd,0.0300833,0.0312803,0.656,0.04,17.378,0.039,0.34499999999999886,0.06762396025078685,15.3,0.0751,0.0075,-0.001256,-0.0017958000000000002,0.0,N/A,-1.0,-1.0,CSPI
SN2008bi,0.0134367,0.0143882,0.512,0.023,16.404,0.054,0.5790000000000006,0.1292478239662084,7.4,0.037,0.0037,3.457e-05,-5.9090000000000005e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008bt,0.0153533,0.0165796,0.492,0.008,16.145,0.011,0.5249999999999986,0.01345362404707371,-1.3,0.0445,0.0044,3.518e-05,-1.492e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2008O,0.03883,0.039318,0.683,0.01,17.711,0.012,0.31400000000000006,0.016401219466856725,-1.2,0.0763,0.0076,-8.812e-06,-1.83118e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2009F,0.0129467,0.01291,0.384,0.007,16.1,0.029,0.5570000000000022,0.025495097567963924,-4.9,0.0895,0.0089,9.52e-05,6.529999999999997e-06,0.0,N/A,-1.0,-1.0,CSPI
CSP12J,0.01468,0.0149235,0.484,0.025,15.806,0.052,0.5549999999999997,0.12841339493993606,5.0,0.0678,0.0068,-0.000152,-0.0001782,0.0,N/A,-1.0,-1.0,CSPII
CSP15B,0.0198862,0.0208198,0.718,0.006,15.952,0.007,0.1399999999999988,0.010816653826391968,-3.8,0.0641,0.0064,1.975e-06,7.780000000000002e-06,0.0,N/A,-1.0,-1.0,CSPII
KISS15m,0.02432,0.0253844,0.425,0.009,17.525,0.024,0.6219999999999999,0.03176476034853718,-6.1,0.0277,0.0028,0.0001404,2.099e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ11pn,0.0326533,0.0326611,0.503,0.008,17.196,0.012,0.2870000000000026,0.01769180601295413,-5.1,0.1457,0.0146,4.022e-05,-2.373e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ12fvl,0.05593,0.055977,0.596,0.009,18.54,0.01,0.24599999999999866,0.0170293863659264,-5.9,0.0179,0.0018,5.029e-06,-2.8799999999999995e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ13dkp,0.0689367,0.0685268,0.646,0.009,18.839,0.01,0.00999999999999801,0.01345362404707371,-4.6,0.0145,0.0015,2.819e-06,2.600000000000002e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14act,0.05905,0.0594518,0.691,0.007,18.413,0.007,0.0030000000000001137,0.009899494936611667,-3.2,0.2269,0.0227,2.325e-06,-5.88e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14ajn,0.02101,0.0221584,0.654,0.004,16.296,0.006,0.07499999999999929,0.009219544457292887,-0.3,0.0193,0.0019,-9.464e-06,-7.017e-06,0.0,N/A,-1.0,-1.0,CSPII
LSQ14gfb,0.0527067,0.0527873,0.586,0.033,18.856,0.023,0.5300000000000011,0.06226556030423239,-1.0,0.0159,0.0016,-9.675e-05,-2.409999999999999e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ14ip,0.0612967,0.0624196,0.509,0.01,19.025,0.014,0.33800000000000097,0.022803508501982758,-7.3,0.0373,0.0037,6.058e-05,-4.4460000000000005e-05,0.0,N/A,-1.0,-1.0,CSPII
LSQ14jp,0.04539,0.0464896,0.675,0.007,17.991,0.007,0.12300000000000111,0.01,-8.4,0.053,0.0053,8.719e-06,9.834e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF11ppn,0.0672534,0.0661869,0.641,0.037,18.481,0.067,0.18900000000000006,0.17917589123540031,7.4,0.132,0.0132,-0.0002573,0.00017540000000000004,0.0,N/A,-1.0,-1.0,CSPII
PTF11pra,0.0175433,0.0167242,0.439,0.017,16.953,0.025,0.9200000000000017,0.06,0.9,0.0243,0.0024,3.83e-07,-3.1940000000000003e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF14aje,0.0276708,0.0282271,0.684,0.005,17.683,0.007,0.6080000000000005,0.010816653826391968,-5.1,0.1524,0.0152,-1.696e-06,-2.0989999999999997e-06,0.0,N/A,-1.0,-1.0,CSPII
PTF14w,0.0188933,0.0200839,0.742,0.004,16.075,0.004,0.055999999999997385,0.005,-6.3,0.0205,0.0021,2.057e-06,2.896e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2011jn,0.0474433,0.0485384,0.641,0.021,17.937,0.038,0.12100000000000222,0.08848163651289458,5.4,0.0593,0.0059,-6.057e-05,-4.6884e-05,0.0,N/A,-1.0,-1.0,CSPII
